O/F,Pc_psia,Property,Degree,Coefficients_high->low,T_points_K,Y_points
2.1,500.0,Gamma,2,"[-1.1159042741124463e-08, -5.980096303596839e-06, 1.240270248957603]","[3343.622850035263, 3167.2107097266903, 998.3212907738334]","[1.0955190426892543, 1.1093911701109018, 1.223178582884825]"
2.1,500.0,Cp_J_kgK,2,"[0.0009892726711454, -3.2666954271268374, 4350.2245643559]","[3343.622850035263, 3167.2107097266903, 998.3212907738334]","[4487.511314614965, 3927.527266724673, 2074.967025640923]"
2.1,500.0,Thermal_Conductivity,2,"[0.00031692462063034643, -1.0095907987638062, 931.941894679582]","[3343.622850035263, 3167.2107097266903, 998.3212907738334]","[1099.4092663923504, 913.4968635744534, 239.9073704794319]"
2.1,500.0,Viscosity_Pa_s,2,"[5.789938847250705e-12, -1.0860930936149263e-08, 7.406235171939407e-05]","[3343.622850035263, 3167.2107097266903, 998.3212907738334]","[0.00010247793288166147, 9.774366660999843e-05, 6.89901690443612e-05]"
2.1,500.0,Molecular_Weight_kg_kmol,2,"[-4.3327667796195995e-07, 0.0015779194441742114, 20.817968611563156]","[3343.622850035263, 3167.2107097266903, 998.3212907738334]","[21.249983553032514, 21.46927670235737, 21.961415979958176]"
