O/F Ratio,Station,Temperature (K),Pressure (psia),Density (kg/m^3),Mach,Speed of Sound (m/s),Specific Heat Ratio,Specific Heat Capacity (J/kg-K),Molecular Weight (kg/kmol),Thermal Conductivity (W/m-K),Viscosity (Pa-s),Prandtl Number
2.1,Injector,3384.3893606812157,500.0,2.6033531158920846,0.0,1204.4476246432532,1.0955190426892543,4487.511314614965,21.249983553032514,1099.4092663923504,0.00010247793288166147,0.4180093348195651
2.1,Combustor,3343.622850035263,435.1185750032253,2.293156712633716,0.5052579376743568,1197.1715874751305,1.0955190426892543,4487.511314614965,21.249983553032514,1099.4092663923504,0.00010247793288166147,0.4180093348195651
2.1,Throat,3167.2107097266903,291.3574344916131,1.6377641420891083,1.0,1166.5120165952967,1.1093911701109018,3927.527266724673,21.46927670235737,913.4968635744534,9.774366660999843e-05,0.4199622318387935
2.1,Exit,998.3212907738334,13.172479435477193,0.24029367087696482,2.9048137235948097,679.9344158673564,1.223178582884825,2074.967025640923,21.961415979958176,239.9073704794319,6.89901690443612e-05,0.5962992708677907
