MR,Station,Temperature_K,Pressure_Pa,Density_kg_m3,Mach,Speed_of_Sound_m_s,Gamma,Cp_J_kgK,Molecular_Weight_kg_kmol,Thermal_Conductivity,Viscosity_Pa_s,Prandtl
2.1,Injector,3384.3893606812157,3447378.6465891497,2.6033531158920846,0.0,1204.4476246432532,1.0955190426892543,4487.511314614965,21.249983553032514,1099.4092663923504,0.00010247793288166147,0.4180093348195651
2.1,Combustor,3343.622850035263,3000036.968400837,2.293156712633716,0.5052579376743568,1197.1715874751305,1.0955190426892543,4487.511314614965,21.249983553032514,1099.4092663923504,0.00010247793288166147,0.4180093348195651
2.1,Throat,3167.2107097266903,2008838.7963827683,1.6377641420891083,1.0,1166.5120165952967,1.1093911701109018,3927.527266724673,21.46927670235737,913.4968635744534,9.774366660999843e-05,0.4199622318387935
2.1,Exit,998.3212907738334,90821.04865699755,0.24029367087696482,2.9048137235948097,679.9344158673564,1.223178582884825,2074.967025640923,21.961415979958176,239.9073704794319,6.89901690443612e-05,0.5962992708677907
