t_s,wall_surface_F
0.0,174.77520560983507
0.1,898.2261540528059
0.2,1046.6993510884683
0.3,1132.7866114278772
0.4,1194.1993735962103
0.5,1243.6522607149877
0.6,1286.3988250111609
0.7000000000000001,1324.7482349415882
0.8,1359.7802028796789
0.9,1392.0519854869178
1.0,1421.8944204854674
1.1,1449.5365998763796
1.2,1475.1587027250664
1.3,1498.9146183013956
1.4000000000000001,1520.9418296076353
1.5,1541.3659076404851
1.6,1560.302715843875
1.7,1577.8596338442737
1.8,1594.1363538068135
1.9000000000000001,1609.225483238696
2.0,1623.213052917306
2.1,1636.1789715296104
2.2,1648.197444593184
2.3000000000000003,1659.3373652204034
2.4,1669.6626801842276
2.5,1679.2327331233275
2.6,1688.1025861161065
2.7,1696.3233206546697
2.8000000000000003,1703.9423190025677
2.9,1711.0035269173386
3.0,1717.5476987223446
3.1,1723.6126257121166
3.2,1729.233348861835
3.3000000000000003,1734.442356787901
3.4,1739.2697698805828
3.5,1743.7435114892214
3.6,1747.8894670053166
3.7,1751.731631646059
3.8000000000000003,1755.2922476980712
3.9,1758.591931938926
4.0,1761.6497939132528
4.1,1764.4835456960427
4.2,1767.1096037393067
4.3,1769.5431833584994
4.4,1771.7983863796849
4.5,1773.8882824315283
4.6000000000000005,1775.8249843377573
4.7,1777.6197180291958
4.8,1779.2828873718277
4.9,1780.8241342738668
5.0,1782.2523944140498
