t_s,wall_surface_F
0.0,195.6375608812864
0.1,986.8622715130696
0.2,1133.696576042673
0.3,1215.8671966593367
0.4,1271.4366634393862
0.5,1312.7273069089224
0.6,1345.348052699625
0.7000000000000001,1372.3476709927781
0.8,1395.54496440868
0.9,1416.075487805175
1.0,1434.6646455931082
1.1,1451.7825616273396
1.2,1467.7379187425313
1.3,1482.7365486775325
1.4000000000000001,1496.9184778126723
1.5,1510.3814732251299
1.6,1523.1960427914744
1.7,1535.4150031182394
1.8,1547.0795887538688
1.9000000000000001,1558.2233574650531
2.0,1568.8746904550803
2.1,1579.0583964602542
2.2,1588.7967440834746
2.3000000000000003,1598.1101291586117
2.4,1607.0175090328378
2.5,1615.5366879048777
2.6,1623.6845069127448
2.7,1631.476973242105
2.8000000000000003,1638.9293501357756
2.9,1646.0562217730758
3.0,1652.871541937028
3.1,1659.3886721621543
3.2,1665.6204129965065
3.3000000000000003,1671.5790306945778
3.4,1677.2762808180923
3.5,1682.7234296865724
3.6,1687.931274276137
3.7,1692.9101609480658
3.8000000000000003,1697.6700032514855
3.9,1702.2202989539514
4.0,1706.5701464009649
4.1,1710.7282602688979
4.2,1714.7029867552988
4.3,1718.5023182359746
4.4,1722.1339074109765
4.5,1725.6050809560716
4.6000000000000005,1728.92285269416
4.7,1732.0939362993965
4.8,1735.12475754436
4.9,1738.0214661032328
5.0,1740.789946921716
